inegi_id,restaurant_name,restaurant_capacity,street_name,ext_number,int_number,coord_long,coord_lat,city
09016722518004181000000000U9,COMIDA CORRIDA MARY,0-5,ERASMO CASTELLANOS QUINTO,0,,-99.18836030,19.40302052,CDMX
09015722511015312000000000U4,TOKI DOKI SUSHI,0-5,RIO PAPALOAPAN,5,0,-99.16477834,19.42971629,CDMX
09016722511008861000000000S7,DGAR,0-5,INTERIOR AVENIDA REVOLUCION,90,,-99.18450669,19.40427200,CDMX
09015722511008554000000000U0,PALMARES AZOTEA,11-30,VALLADOLID,72,,-99.16796548,19.41902437,CDMX
09015722518011481000000000U6,COMIDA MEXICANA EL CHARRO DE LA ROMA,0-5,PUEBLA,0,,-99.16676887,19.42162173,CDMX
09015722511021173000000000U2,VENGAN RAMEN MEI,11-30,TAMAULIPAS,155,0,-99.17645860,19.40885987,CDMX
09015722516001151000000000U1,DAL,0-5,MEDELLIN,32,,-99.16685660,19.42137769,CDMX
09015722514011291000000000U8,TACOS PARRILLA ARGENTINA,0-5,MEDELLIN,32,,-99.16685660,19.42137769,CDMX
09015722211001513001003743M0,EL TIZONCITO,0-5,TAMAULIPAS,122,2,-99.17524009,19.40984574,CDMX
09015722518004191010000000S0,FONDA LA ESPUELA,0-5,MANUEL MARIA CONTRERAS,71,,-99.16509399,19.43788007,CDMX
09015722511012522000000000U1,RESTAURANTE DE COMIDA COREANA ARIRANG,11-30,2 PONIENTE FLORENCIA,67,,-99.16602176,19.42361274,CDMX
09015722511018014000000000M3,BELLA AURORA,31-50,MEDELLIN,242,0,-99.16691352,19.42119856,CDMX
09016722513001851000000000U1,ANTOJITOS MEXICANOS LUPITA,0-5,DE LOS MAESTROS,0,0,-99.16716169,19.44458070,CDMX
09016722513001061000000000U7,CALDOS DE GALLINA EL BERACA,6-10,DE LOS MAESTROS,0,,-99.16716093,19.44458971,CDMX
09015722511008513000000000U6,RESTAURANT SANTINO,6-10,OAXACA,4,0,-99.16971128,19.41601999,CDMX
09016722517002251000000000U4,PIZZERIA EL HORNITO,0-5,CERRADA LA PAZ,4,,-99.18218068,19.40525303,CDMX
09016722511009531000000000U5,COCINA ARABE,0-5,CERRADA LA PAZ,4,,-99.18218277,19.40524275,CDMX
09015722219028862001000000U3,LA TAPERIA DE COMONFORT,6-10,TAMAULIPAS,134,0,-99.17548195,19.40958712,CDMX
09015722511018323000000000U8,LA PERLA NEGRA,11-30,TAMAULIPAS,134,,-99.17551769,19.40954890,CDMX
15057722212003061000000000U0,TECA TACOS,0-5,TECAMACHALCO,57,0,-99.22881767,19.42653973,CDMX
09015722516002972000000000U9,RUBEN S HAMBURGERS,6-10,TAMAULIPAS,0,,-99.17684292,19.40845288,CDMX
09016722212006531001000000U3,LOS ARANDAS,6-10,JALISCO,197,,-99.18648450,19.40345690,CDMX
09016722514006951000000000U2,VENTA DE TACOS DE GUISADO LOS SUCULENTOS DE TACUBAYA,0-5,GAVIOTA,41,,-99.19145123,19.40224462,CDMX
09016722511008621000000000U5,LOS REYES DEL BUEN COMER,0-5,GOLFO DE TEHUANTEPEC,22,,-99.18979861,19.46264160,CDMX
09015722511018482000000000U2,FRANK FURT,6-10,TAMAULIPAS,140,,-99.17573835,19.40931294,CDMX
09016722219004881000000000U9,TORTERIA LA ISLA,0-5,MEXICO TACUBA,0,32,-99.16686138,19.44409946,CDMX
09015722511023433000000000U8,GALEA,11-30,SINALOA,67,,-99.16696759,19.42084072,CDMX
09015722511021391000000000U0,COCINA SIN NOMBRE,0-5,LONDRES,154,64,-99.16561745,19.42457883,CDMX
09015722212026972000000000U7,COCINA LA GUERA,0-5,LONDRES,154,2,-99.16561745,19.42457883,CDMX
09015465915001711010000000U7,COCINA BO,0-5,LONDRES,154,210,-99.16561745,19.42457883,CDMX
09015722511013721000000000U8,COCINA ALI,0-5,LONDRES,154,96,-99.16561745,19.42457883,CDMX
09015722511020411000000000U7,EL BUEN COMER,0-5,LONDRES,154,,-99.16561745,19.42457883,CDMX
09015722518011221000000000U6,COCINA ALI,0-5,LONDRES,154,96,-99.16561745,19.42457883,CDMX
09015722511021101000000000U3,COMIDA SIN NOMBRE,0-5,LONDRES,154,,-99.16561745,19.42457883,CDMX
09015722518005931000000000U8,COCINA ECONOMICA SIN NOMBRE,0-5,LONDRES,154,78,-99.16561745,19.42457883,CDMX
09015722511010971000000000U2,COCINA LA GUERA,0-5,LONDRES,154,,-99.16561745,19.42457883,CDMX
09015722212002731000000000U5,COCINA ECONOMICA SIN NOMBRE,0-5,LONDRES,154,,-99.16561745,19.42457883,CDMX
09015722219003821000000000U8,FONDA FELIPA,0-5,LONDRES,154,77,-99.16561745,19.42457883,CDMX
